manufacturer_name,manufacturer_slug,material_type,region,collection,profile_name,profile_slug,profile_style,color_name,manufacturer_code,color_type,hex_code,source_document,notes
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Arcadia Canyon Brown,4502,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Sierra Madre,4503,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Flintridge Gray,4511,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Weathered Terracotta Flashed,4520,flashed,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Weathered Adobe,4530,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Santa Paula,4549,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Dark Gray Range,4591,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Dark Charcoal Range,4595,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Ocotilla,4598,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Concord Blend,4602,blend,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,W. Elwood,4602,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,W. Elwood,4608,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Kings Canyon Blend,4634,blend,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Sunrise Blend,4645,blend,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Sunset Blend,4646,blend,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Grays Peak Range,4669,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Brown Gray Range,4687,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Brown Range,4689,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Slate Range,4697,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Kona Red Range,4698,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Cocoa Range,4743,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,San Pablo Blend,4814,blend,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Bel Air,bel-air,flat,Hillsborough Blend,4883,blend,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Capistrano,capistrano,barrel,Sierra Madre,3503,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Capistrano,capistrano,barrel,Weathered Terracotta Flashed,3520,flashed,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Capistrano,capistrano,barrel,Santa Paula,3549,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Capistrano,capistrano,barrel,Topanga,3576,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Capistrano,capistrano,barrel,Ramona,3578,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Capistrano,capistrano,barrel,Arcadia Canyon Brown,3581,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Capistrano,capistrano,barrel,Dark Gray Range,3591,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Capistrano,capistrano,barrel,Dark Charcoal Range,3595,range,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
Eagle Roofing,eagle,tile,arizona,Classic Collection,Capistrano,capistrano,barrel,Ocotilla,3598,,,EAGLE-AZ-2026_refresh-042026-digital.pdf,
